Lektion,Wort
13,"Ampel die, -n"
13,"Bank die, -en"
13,"Brücke die, -n"
13,"Dom der, -e"
13,"Hotel das, -s"
13,"Mitte die, -n"
13,die Stadtmitte
13,"Plan der, ¨-e"
13,der Stadtplan
13,Polizei die
13,Post die
13,"Zentrum das, Zentren"
13,"Kilometer der, -"
13,"Meter der, -"
13,Nähe die
13,in der Nähe
13,"Weg der, -e"
13,"ab·biegen, ist abgebogen"
13,"beschreiben, hat beschrieben"
13,"weiter·fahren, ist weitergefahren"
13,"wenden, hat gewendet"
13,"zurück·fahren, ist zurückgefahren"
13,fremd
13,links
13,nach links
13,rechts
13,nach rechts
13,Ach so.
13,Danke schön!
13,"Bitte, gern."
13,"Ja, bitte?"
13,Kein Problem.
13,Schade.
13,nett
13,Sehr nett!
13,an
13,auf
13,hinter
13,in
13,neben
13,über
13,unter
13,vor
13,zwischen
13,"Frage die, -n"
13,"Moment der, -e"
13,Einen Moment!
13,"an·machen, hat angemacht"
13,"finden, hat gefunden"
13,"fragen, hat gefragt"
13,"helfen, du hilfst, er hilft, hat geholfen"
13,"stimmen, hat gestimmt"
13,beide
13,die beiden
14,"Haus das, ¨-er"
14,"Wohnung die, -en"
14,"Balkon der, -e"
14,"Baum der, ¨-e"
14,"Blume die, -n"
14,"Erdgeschoss das, -e"
14,"Fenster das, -"
14,"Garage die, -n"
14,"Garten der, ¨-"
14,"Keller der, -"
14,"Licht das, -er"
14,"Miete die, -n"
14,Müll der
14,"Nachbar der, -n / die Nachbarin, -nen"
14,"Quadratmeter der, -"
14,"Stock der, die Stockwerke"
14,"Treppe die, -n"
14,"Vermieter der, -"
14,Wasser das
14,"vermieten, hat vermietet"
14,gemütlich
14,leer
14,möbliert
14,"Arbeitszimmer das, -"
14,"Bad das, ¨-er"
14,"Flur der, -e"
14,"Kinderzimmer das, -"
14,"Küche die, -n"
14,"Schlafzimmer das, -"
14,"Toilette die, -n"
14,"Wohnzimmer das, -"
14,"Zimmer das, -"
14,"Berg der, -e"
14,"Fluss der, ¨-e"
14,"Meer das, -e"
14,"Wald der, ¨-er"
14,hinten
14,oben
14,unten
14,vorn
14,"Anzeige die, -n"
14,"Fabrik die, -en"
14,"Familie die, -n"
14,"Stadt die, ¨-e"
14,"Zelt das, -e"
14,"aus·sehen, hat ausgesehen"
14,"bezahlen, hat bezahlt"
14,"stehen, hat gestanden"
15,"Bibliothek die, -en"
15,"Geschäft das, -e / Laden der, ¨-"
