Lektion,Wort
1,"Name der, -n"
1,"Vorname der, -n"
1,"Nachname der, -n"
1,"Familienname der, -n"
1,"Frau die, -en"
1,"Herr der, -en"
1,"Buchstabieren, hat buchstabiert"
1,"heißen, hat geheißen"
1,"kommen, ist gekommen"
1,kommen aus
1,"sprechen, du sprichst, er spricht, hat gesprochen"
1,wer
1,wie
1,woher
1,ich
1,du
1,Sie
1,aus
1,in
1,guten Tag
1,hallo
1,auf Wiedersehen
1,tschüs
2,"Beruf der, -e"
2,"Architekt der, -en / Architektin die, -nen"
2,"Arzt der, ¨-e / Ärztin die, -nen"
2,"Friseur der, -e / Friseurin die, -nen"
2,"Ingenieur der, -e / Ingenieurin die, -nen"
2,"Journalist der, -en / Journalistin die, -nen"
2,"Kellner der, - / Kellnerin die, -nen"
2,"Lehrer der, - / Lehrerin die, -nen"
2,"Mechatroniker der, - / Mechatronikerin die, -nen"
2,"Student der, -en / Studentin die, -nen"
2,"Verkäufer der, - / Verkäuferin die, -nen"
2,"Schauspieler der, - / Schauspielerin die, -nen"
2,"Schüler der, - / Schülerin die, -nen"
2,"Arbeitgeber der, -"
2,"Ausbildung die, -en"
2,Berufsausbildung die
2,"Job der, -s"
2,"Praktikum das, Praktika"
2,"Schule die, -n"
2,"Universität die, -en"
2,arbeitslos
2,selbstständig
2,"haben, du hast, er hat, hat gehabt"
2,"machen, hat gemacht"
2,"studieren, hat studiert"
2,arbeiten (als / bei)
2,"Jahr das, -e"
2,"Monat der, -e"
2,seit
2,vor
2,was
2,wo
3,Familie die
3,Eltern die (Pl.)
3,"Mutter die, ¨-"
3,"Vater der, ¨-"
3,"Sohn der, ¨-e"
3,"Tochter die, ¨-"
3,Geschwister die (Pl.)
3,"Bruder der, ¨-"
3,"Schwester die, -n"
3,Großeltern die (Pl.)
3,"Großmutter die, ¨- (Oma die, -s)"
3,"Großvater der, ¨- (Opa der, -s)"
3,"Enkel der, -"
3,"Enkelin die, -nen"
3,"Ehefrau die, -en"
3,"Ehemann der, ¨-er"
3,"Partner der, - / Partnerin die, -nen"
3,"Kind das, -er"
3,Familienstand der
3,ledig
3,verheiratet
3,geschieden
3,verwitwet
3,"wohnen, hat gewohnt"
3,"leben, hat gelebt"
3,Alter das
3,"Geburtsort der, -e"
3,"Wohnort der, -e"
3,"Zahl die, -en"
3,mein/meine
3,dein/deine
3,ihr/ihre
3,wir
3,ihr
3,sie (Pl.)
4,Möbel die (Pl.)
4,"Bett das, -en"
4,"Bild das, -er"
4,"Lampe die, -n"
4,"Schrank der, ¨-e"
4,"Sessel der, -"
4,"Sofa das, -s"
4,"Stuhl der, ¨-e"
4,"Tisch der, -e"
4,"Teppich der, -e"
4,"Zimmer das, -"
4,"Küche die, -n"
4,Bad das
4,Haus das
4,Wohnung die
4,"finden, hat gefunden"
4,"suchen, hat gesucht"
4,"kosten, hat gekostet"
4,"machen, hat gemacht"
4,Das macht ...
4,wie viel
4,neu
4,alt
4,billig
4,günstig
4,teuer
4,schön
4,hässlich
4,groß
4,klein
4,modern
4,praktisch
4,leicht
4,schwer
4,sehr
4,zu (zu teuer)
5,"Gegenstand der, ¨-e"
5,"Bleistift der, -e"
5,"Brille die, -n"
5,"Buch das, ¨-er"
5,"Flasche die, -n"
5,"Feuerzeug das, -e"
5,"Geldbörse die, -n"
5,"Kugelschreiber der, - (Kuli der, -s)"
5,"Schlüssel der, -"
5,"Tasche die, -n"
5,"Uhr die, -en"
5,"Handy das, -s"
5,"Regenschirm der, -e"
5,"Ring der, -e"
5,"Sache die, -n"
5,"Form die, -en"
5,eckig
5,rund
5,"Material das, Materialien"
5,Glas das
5,Holz das
5,Metall das
5,Papier das
5,Plastik das
5,Kunststoff der
5,"Farbe die, -n"
5,blau
5,braun
5,gelb
5,grün
5,rot
5,schwarz
5,weiß
5,grau
5,deutsch
5,auf Deutsch
5,"Wort das, ¨-er"
5,"schreiben, hat geschrieben"
5,"verstehen, hat verstanden"
6,"Büro das, -s"
6,"Computer der, -"
6,"Drucker der, -"
6,"Formular das, -e"
6,"Laptop der, -s"
6,"Maus die, ¨-e"
6,"Notizbuch das, ¨-er"
6,"Rechnung die, -en"
6,"Terminkalender der, -"
6,"Bildschirm der, -e"
6,"Schreibtisch der, -e"
6,"Stift der, -e"
6,"Telefon das, -e"
6,"brauchen, hat gebraucht"
6,"haben, hat gehabt"
6,"machen, hat gemacht"
6,"suchen, hat gesucht"
6,"finden, hat gefunden"
6,"lesen, du liest, er liest, hat gelesen"
6,"schreiben, hat geschrieben"
6,kein / keine
6,ein / eine
6,Euro der
6,Cent der
6,Geld das
